Country,Dzongkhag_Name,Dzongkhag_Latitude,Dzongkhag_Longitude,Female_Population,Male_Population,Total_Population
Bhutan,Bumthang,27.45,90.4,8915,9482,18397
Bhutan,Chukha,27,89.3,33959,36061,70020
Bhutan,Dagana,27,89.55,12378,13524,25902
Bhutan,Gasa,28,90,2039,2324,4363
Bhutan,Ha,27.15,89.1,6299,7550,13849
Bhutan,Lhuntse,27.4,91,6501,6963,13464
Bhutan,Mongar,27.1,91.1,18864,17364,36228
Bhutan,Paro,27.3,89.2,25510,26402,51912
Bhutan,Pemagatshel,27,91.15,11814,12026,23840
Bhutan,Punakha,27.4,89.5,14741,16492,31233
Bhutan,Samdrup Jongkhar,26.55,91.37,16615,18266,34881
Bhutan,Samtse,27,89.5,31402,31747,63149
Bhutan,Sarpang,26.5,90.15,24135,26086,50221
Bhutan,Trashiyangtse,27.4,91.25,8232,8341,16573
Bhutan,Tashigang,27.15,91.4,20589,21710,42299
Bhutan,Thimphu,27.35,89.35,79270,83323,162593
Bhutan,Trongsa,27.2,90.25,8897,14253,23150
Bhutan,Tsirang,26.55,90.25,11689,12384,24073
Bhutan,Wangdue Phodrang,27.3,90.1,19288,28090,47378
Bhutan,Zhemgang,27,90.45,8048,8706,16754
